Mode,Year,Scenario,Scenario branch,Technology,VC
Gas Dem,2020,EUCO,EUCO,Lignite,23.8
Gas Dem,2020,EUCO,EUCO,Hard Coal,38.6
Gas Dem,2020,EUCO,EUCO,CCGT,30.5
Gas Dem,2020,EUCO,EUCO,OCGT,47.1
Gas Dem,2020,EUCO,ST,Lignite,23.8
Gas Dem,2020,EUCO,ST,Hard Coal,38.6
Gas Dem,2020,EUCO,ST,CCGT,32.1
Gas Dem,2020,EUCO,ST,OCGT,49.6
Gas Dem,2020,EUCO,DG,Lignite,23.8
Gas Dem,2020,EUCO,DG,Hard Coal,38.6
Gas Dem,2020,EUCO,DG,CCGT,31.0
Gas Dem,2020,EUCO,DG,OCGT,47.9
Gas Dem,2020,ST,EUCO,Lignite,23.8
Gas Dem,2020,ST,EUCO,Hard Coal,38.6
Gas Dem,2020,ST,EUCO,CCGT,31.9
Gas Dem,2020,ST,EUCO,OCGT,49.2
Gas Dem,2020,ST,ST,Lignite,23.8
Gas Dem,2020,ST,ST,Hard Coal,38.6
Gas Dem,2020,ST,ST,CCGT,34.3
Gas Dem,2020,ST,ST,OCGT,52.9
Gas Dem,2020,ST,wa,Lignite,23.8
Gas Dem,2020,ST,DG,Hard Coal,38.6
Gas Dem,2020,ST,DG,CCGT,33.0
Gas Dem,2020,ST,DG,OCGT,50.9
Gas Dem,2020,DG,EUCO,Lignite,23.8
Gas Dem,2020,DG,EUCO,Hard Coal,38.6
Gas Dem,2020,DG,EUCO,CCGT,30.3
Gas Dem,2020,DG,EUCO,OCGT,46.7
Gas Dem,2020,DG,ST,Lignite,23.8
Gas Dem,2020,DG,ST,Hard Coal,38.6
Gas Dem,2020,DG,ST,CCGT,31.7
Gas Dem,2020,DG,ST,OCGT,49.0
Gas Dem,2020,DG,DG,Lignite,23.8
Gas Dem,2020,DG,DG,Hard Coal,38.6
Gas Dem,2020,DG,DG,CCGT,30.9
Gas Dem,2020,DG,DG,OCGT,47.7
Gas Dem,2020,EVP,EUCO,Lignite,23.8
Gas Dem,2020,EVP,EUCO,Hard Coal,38.6
